Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,1.0,0.0,0.0,0.0,92.0,620.0,1488.0,1536.0,0.0,0.0,0.0
1,999996,1.0,0.0,0.0,0.0,92.0,620.0,1486.0,1534.0,0.0,0.0,0.0
2,2000000,1.0,0.0,0.0,0.0,92.0,617.0,1486.0,1532.0,0.0,0.0,0.0
3,3000000,1.0,0.0,0.0,0.0,93.0,617.0,1488.0,1532.0,0.0,0.0,0.0
4,4000000,1.0,0.0,0.0,0.0,92.0,617.0,1484.0,1529.0,0.0,0.0,0.0
5,4999996,1.0,0.0,0.0,0.0,93.0,616.0,1484.0,1528.0,0.0,0.0,0.0
6,6000000,1.0,0.0,0.0,0.0,93.0,617.0,1479.0,1522.0,0.0,0.0,0.0
7,7000000,1.0,0.0,0.0,0.0,93.0,615.0,1473.0,1517.0,0.0,0.0,0.0
8,8000004,1.0,0.0,0.0,0.0,93.0,616.0,1468.0,1511.0,0.0,0.0,0.0
9,9000004,1.0,0.0,0.0,0.0,93.0,615.0,1462.0,1507.0,0.0,0.0,0.0
10,10000000,1.0,0.0,0.0,0.0,93.0,613.0,1455.0,1499.0,0.0,0.0,0.0
11,11000000,1.0,0.0,0.0,0.0,92.0,613.0,1449.0,1494.0,0.0,0.0,0.0
12,12000000,1.0,0.0,0.0,0.0,94.0,613.0,1446.0,1491.0,0.0,0.0,0.0
13,13000000,1.0,0.0,0.0,0.0,93.0,612.0,1439.0,1483.0,0.0,0.0,0.0
14,13999996,1.0,0.0,0.0,0.0,93.0,611.0,1434.0,1480.0,0.0,0.0,0.0
15,15000000,1.0,0.0,0.0,0.0,96.0,611.0,1423.0,1468.0,0.0,0.0,0.0
16,16000000,1.0,0.0,0.0,0.0,94.0,610.0,1410.0,1454.0,0.0,0.0,0.0
17,16999996,1.0,0.0,0.0,0.0,93.0,610.0,1392.0,1437.0,0.0,0.0,0.0
18,18000000,1.0,0.0,0.0,0.0,92.0,610.0,1385.0,1430.0,0.0,0.0,0.0
19,19000000,1.0,0.0,0.0,0.0,93.0,609.0,1383.0,1431.0,0.0,0.0,0.0
20,20000000,1.0,0.0,0.0,0.0,92.0,608.0,1385.0,1432.0,0.0,0.0,0.0
21,21000000,1.0,0.0,0.0,0.0,91.0,609.0,1376.0,1422.0,0.0,0.0,0.0
