Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,0.0,1.0,555.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
1,10004,0.0,1.0,557.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
2,20004,0.0,1.0,558.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
3,30000,0.0,1.0,556.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
4,40004,0.0,1.0,555.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
5,50004,0.0,1.0,556.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
6,60004,0.0,1.0,562.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
7,70000,0.0,1.0,557.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
8,80004,0.0,1.0,555.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
9,90004,0.0,1.0,554.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
10,100004,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
11,110000,0.0,1.0,557.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
12,120004,0.0,1.0,558.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
13,130004,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
14,140004,0.0,1.0,557.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
15,150000,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
16,160000,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
17,170004,0.0,1.0,557.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
18,180004,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
19,190004,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
20,200004,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
21,210004,0.0,1.0,555.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
22,220004,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
23,230000,0.0,1.0,556.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
24,240000,0.0,1.0,555.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
25,250004,0.0,1.0,555.0,114.0,108.0,2047.0,0.0,1680.0,4294952888.0,0.0,0.0
26,260004,0.0,1.0,562.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
27,270000,0.0,1.0,558.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
28,280004,0.0,1.0,557.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
29,290008,0.0,1.0,555.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
30,300004,0.0,1.0,555.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
31,310000,0.0,1.0,556.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
32,320000,0.0,1.0,604.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
33,330004,0.0,1.0,590.0,114.0,110.0,2047.0,0.0,1620.0,4294952888.0,0.0,0.0
34,340004,0.0,1.0,545.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
35,350004,0.0,1.0,533.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
36,360004,0.0,1.0,545.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
37,370004,0.0,1.0,550.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
38,380000,0.0,1.0,555.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
39,390004,0.0,1.0,555.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
40,400004,0.0,1.0,555.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
41,410000,0.0,1.0,554.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
42,420004,0.0,1.0,555.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
43,430004,0.0,1.0,555.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
44,440000,0.0,1.0,555.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
45,450004,0.0,1.0,556.0,114.0,110.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
46,460004,0.0,1.0,562.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
47,470000,0.0,1.0,558.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
48,480000,0.0,1.0,556.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
49,490004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
50,500004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
51,510000,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
52,520004,0.0,1.0,556.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
53,530004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
54,540000,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
55,550004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
56,560004,0.0,1.0,556.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
57,570000,0.0,1.0,556.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
58,580004,0.0,1.0,556.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
59,590004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
60,600000,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
61,610004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
62,620004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
63,630000,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
64,640004,0.0,1.0,556.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
65,650004,0.0,1.0,555.0,114.0,109.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
66,660004,0.0,1.0,562.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
67,670000,0.0,1.0,556.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
68,680004,0.0,1.0,556.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
69,690004,0.0,1.0,556.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
70,700000,0.0,1.0,555.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
71,710004,0.0,1.0,554.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
72,720000,0.0,1.0,555.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
73,730004,0.0,1.0,556.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
74,740004,0.0,1.0,555.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
75,750000,0.0,1.0,555.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
76,760004,0.0,1.0,554.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
77,770004,0.0,1.0,557.0,114.0,111.0,2048.0,0.0,1620.0,4294952888.0,0.0,0.0
78,780004,0.0,1.0,610.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
79,790000,0.0,1.0,576.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
80,800004,0.0,1.0,542.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
81,810000,0.0,1.0,533.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
82,820004,0.0,1.0,533.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
83,830004,0.0,1.0,550.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
84,840000,0.0,1.0,554.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
85,850004,0.0,1.0,555.0,114.0,111.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
86,860004,0.0,1.0,563.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
87,870000,0.0,1.0,556.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
88,880000,0.0,1.0,556.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
89,890004,0.0,1.0,556.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
90,900004,0.0,1.0,554.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
91,910000,0.0,1.0,556.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
92,920000,0.0,1.0,554.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
93,930008,0.0,1.0,556.0,114.0,110.0,2049.0,0.0,1620.0,4294952888.0,0.0,0.0
