Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,0.0,1.0,555.0,113.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
1,9996,0.0,1.0,555.0,113.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
2,20000,0.0,1.0,555.0,113.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
3,30000,0.0,1.0,562.0,113.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
4,39996,0.0,1.0,558.0,113.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
5,50000,0.0,1.0,556.0,113.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
6,60000,0.0,1.0,555.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
7,70000,0.0,1.0,554.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
8,80000,0.0,1.0,559.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
9,89996,0.0,1.0,612.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
10,99996,0.0,1.0,579.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
11,110000,0.0,1.0,544.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
12,120008,0.0,1.0,534.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
13,130004,0.0,1.0,537.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
14,140000,0.0,1.0,551.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
15,150004,0.0,1.0,554.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
16,160000,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
17,169996,0.0,1.0,554.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
18,180004,0.0,1.0,555.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
19,190000,0.0,1.0,555.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
20,199996,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
21,210000,0.0,1.0,554.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
22,220008,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
23,230000,0.0,1.0,561.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
24,240000,0.0,1.0,558.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
25,249996,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
26,260008,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
27,269996,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
28,280004,0.0,1.0,555.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
29,290000,0.0,1.0,555.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
30,300004,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
31,310004,0.0,1.0,555.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
32,319996,0.0,1.0,557.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
33,330004,0.0,1.0,555.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
34,340004,0.0,1.0,555.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
35,350004,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
36,360000,0.0,1.0,554.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
37,370000,0.0,1.0,555.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
38,380004,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
39,390004,0.0,1.0,555.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
40,399996,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
41,410004,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
42,420000,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
43,430008,0.0,1.0,562.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
44,440000,0.0,1.0,557.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
45,450000,0.0,1.0,556.0,112.0,107.0,0.0,0.0,1620.0,0.0,0.0,0.0
46,460004,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
47,470000,0.0,1.0,555.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
48,479996,0.0,1.0,554.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
49,490000,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
50,500000,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
51,510004,0.0,1.0,555.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
52,520000,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
53,529996,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
54,540008,0.0,1.0,580.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
55,550000,0.0,1.0,623.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
56,560008,0.0,1.0,554.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
57,570004,0.0,1.0,538.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
58,580000,0.0,1.0,537.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
59,590012,0.0,1.0,546.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
60,599996,0.0,1.0,554.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
61,610000,0.0,1.0,555.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
62,620008,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
63,630000,0.0,1.0,561.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
64,640004,0.0,1.0,557.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
65,650004,0.0,1.0,556.0,112.0,106.0,0.0,0.0,1620.0,0.0,0.0,0.0
66,659996,0.0,1.0,555.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
67,670008,0.0,1.0,557.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
68,679996,0.0,1.0,558.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
69,690000,0.0,1.0,558.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
70,700004,0.0,1.0,559.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
71,710000,0.0,1.0,559.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
72,720000,0.0,1.0,560.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
73,730008,0.0,1.0,562.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
74,739996,0.0,1.0,562.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
75,750008,0.0,1.0,562.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
76,760004,0.0,1.0,563.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
77,769996,0.0,1.0,563.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
78,780008,0.0,1.0,565.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
79,789996,0.0,1.0,566.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
80,800008,0.0,1.0,567.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
81,810004,0.0,1.0,570.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
82,819996,0.0,1.0,570.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
83,830004,0.0,1.0,576.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
84,840000,0.0,1.0,573.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
85,849996,0.0,1.0,572.0,112.0,105.0,0.0,0.0,1620.0,0.0,0.0,0.0
86,860004,0.0,1.0,573.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
87,870000,0.0,0.0,574.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
88,880004,0.0,0.0,574.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
89,890000,0.0,0.0,576.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
90,900000,0.0,0.0,576.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
91,910008,0.0,0.0,577.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
92,919996,0.0,0.0,578.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
93,930008,0.0,0.0,580.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
94,940004,0.0,0.0,581.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
95,949996,0.0,0.0,583.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
96,960008,0.0,0.0,586.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
97,969996,0.0,0.0,590.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
98,979996,0.0,0.0,595.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
99,990004,0.0,0.0,604.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
100,1000000,0.0,0.0,657.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
101,1010004,0.0,0.0,674.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
102,1020004,0.0,0.0,636.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
103,1030000,0.0,0.0,646.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
104,1040004,0.0,0.0,670.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
105,1050000,0.0,0.0,698.0,112.0,109.0,0.0,0.0,1620.0,0.0,0.0,0.0
106,1060008,0.0,0.0,726.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
107,1070004,0.0,0.0,757.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
108,1080000,0.0,0.0,788.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
109,1090004,0.0,0.0,820.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
110,1100004,0.0,0.0,851.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
111,1109996,0.0,0.0,882.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
112,1120004,0.0,0.0,914.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
113,1130000,0.0,0.0,945.0,113.0,120.0,0.0,0.0,1680.0,0.0,0.0,0.0
