Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,0.0,1.0,602.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
1,10004,0.0,1.0,621.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
2,20004,0.0,1.0,556.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
3,30004,0.0,1.0,543.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
4,40004,0.0,1.0,547.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
5,50004,0.0,1.0,556.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
6,60000,0.0,1.0,568.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
7,70004,0.0,1.0,564.0,113.0,110.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
8,80004,0.0,1.0,563.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
9,90004,0.0,1.0,562.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
10,100004,0.0,1.0,562.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
11,110000,0.0,1.0,563.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
12,120004,0.0,1.0,564.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
13,130004,0.0,1.0,564.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
14,140000,0.0,1.0,565.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
15,150008,0.0,1.0,564.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
16,160000,0.0,1.0,563.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
17,170000,0.0,1.0,564.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
18,180004,0.0,1.0,564.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
19,190000,0.0,1.0,564.0,113.0,113.0,2100.0,0.0,1680.0,4294955388.0,0.0,0.0
20,200004,0.0,1.0,564.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
21,210004,0.0,1.0,565.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
22,220004,0.0,1.0,566.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
23,230000,0.0,1.0,564.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
24,240004,0.0,1.0,564.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
25,250004,0.0,1.0,564.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
26,260000,0.0,1.0,570.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
27,270004,0.0,1.0,566.0,113.0,113.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
28,280004,0.0,1.0,566.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
29,290000,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
30,300004,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
31,310004,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
32,320004,0.0,1.0,563.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
33,330004,0.0,1.0,562.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
34,340004,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
35,350004,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
36,360004,0.0,1.0,565.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
37,370004,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
38,380000,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
39,390000,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
40,400004,0.0,1.0,563.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
41,410004,0.0,1.0,564.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
42,420000,0.0,1.0,566.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
43,430004,0.0,1.0,566.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
44,440004,0.0,1.0,565.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
45,450004,0.0,1.0,565.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
46,460004,0.0,1.0,619.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
47,470004,0.0,1.0,606.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
48,480000,0.0,1.0,558.0,113.0,112.0,2101.0,0.0,1680.0,4294955388.0,0.0,0.0
49,490004,0.0,1.0,546.0,113.0,112.0,2101.0,0.0,1620.0,4294955388.0,0.0,0.0
