Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,1.0,1.0,803.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
1,10004,1.0,1.0,684.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
2,20004,1.0,1.0,656.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
3,30000,1.0,1.0,649.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
4,40004,1.0,1.0,651.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
5,50000,1.0,1.0,645.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
6,60000,1.0,1.0,876.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
7,70004,1.0,1.0,930.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
8,80004,1.0,1.0,946.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
9,90000,1.0,1.0,953.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
10,100004,1.0,1.0,807.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
11,110004,1.0,1.0,686.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
12,120004,1.0,1.0,658.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
13,130000,1.0,1.0,649.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
14,140004,1.0,1.0,647.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
15,150004,1.0,1.0,643.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
16,160004,1.0,1.0,873.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
17,170000,1.0,1.0,928.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
18,180004,1.0,1.0,937.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
19,190000,1.0,1.0,985.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
20,200004,1.0,1.0,858.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
21,210004,1.0,1.0,682.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
22,220000,1.0,1.0,640.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
23,230004,1.0,1.0,636.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
24,240004,1.0,1.0,645.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
25,250004,1.0,1.0,662.0,122.0,248.0,2514.0,0.0,1680.0,0.0,0.0,0.0
