Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,1628271792085,6.0,221.0,0.0,0.0,0.0,0.0,256.0,0.0,92.0,615.0,1705.0
1,1628271792271,6.0,220.0,0.0,0.0,0.0,0.0,256.0,0.0,93.0,615.0,1707.0
2,1628271792671,6.0,220.0,0.0,0.0,0.0,0.0,256.0,0.0,94.0,616.0,1706.0
3,1628271811177,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6226524.0,1659.0,1708.0
4,1628271816535,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6095470.0,1661.0,1710.0
5,1628271817031,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6095469.0,1658.0,1708.0
6,1628271817943,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6226541.0,1656.0,1704.0
7,1628271886782,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6095465.0,1663.0,1710.0
8,1628271889822,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6161008.0,1661.0,1708.0
9,1628271890028,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6161008.0,1658.0,1703.0
10,1628271891372,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6161007.0,1656.0,1703.0
11,1628271891788,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6095471.0,1657.0,1704.0
12,1628271895261,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6095469.0,1657.0,1704.0
13,1628271898411,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6161003.0,1658.0,1706.0
14,1628271898619,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6161002.0,1662.0,1709.0
15,1628271899035,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6095466.0,1659.0,1707.0
16,1628271899771,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6095465.0,1660.0,1707.0
17,1628271900091,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6161002.0,1660.0,1707.0
18,1628271901770,0.0,0.0,0.0,0.0,0.0,256.0,0.0,0.0,6161000.0,1661.0,1708.0
