Sample Number (10 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),gear (),brake (),gas (),bat (),temp (),fuel (),vel (),rpm (),odometer (),lat (),lon ()
0,0,0.0,0.0,566.0,116.0,26.0,907.0,0.0,1533.0,0.0,0.0,0.0
1,10000,0.0,0.0,517.0,116.0,26.0,906.0,0.0,1533.0,0.0,0.0,0.0
2,19996,0.0,0.0,492.0,116.0,26.0,906.0,0.0,1533.0,0.0,0.0,0.0
3,30000,0.0,0.0,484.0,116.0,26.0,906.0,0.0,1533.0,0.0,0.0,0.0
4,40000,0.0,0.0,488.0,116.0,26.0,906.0,0.0,1533.0,0.0,0.0,0.0
5,49996,0.0,0.0,503.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
6,60000,0.0,0.0,507.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
7,70000,0.0,0.0,506.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
8,79996,0.0,0.0,507.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
9,89996,0.0,0.0,505.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
10,100000,0.0,0.0,506.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
11,110000,0.0,0.0,506.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
12,119996,0.0,0.0,506.0,116.0,26.0,905.0,0.0,1533.0,0.0,0.0,0.0
13,129996,0.0,0.0,506.0,116.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
14,140000,0.0,0.0,506.0,116.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
15,149996,0.0,0.0,505.0,116.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
16,159996,0.0,0.0,503.0,116.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
17,170000,0.0,0.0,512.0,116.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
18,180000,0.0,0.0,508.0,116.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
19,190000,0.0,0.0,507.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
20,199996,0.0,0.0,506.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
21,210000,0.0,0.0,507.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
22,220000,0.0,0.0,506.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
23,229996,0.0,0.0,505.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
24,240000,0.0,0.0,506.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
25,250000,0.0,0.0,507.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
26,259996,0.0,0.0,506.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
27,270000,0.0,0.0,506.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
28,279996,0.0,0.0,505.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
29,289996,0.0,0.0,506.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
30,300000,0.0,0.0,507.0,115.0,26.0,904.0,0.0,1533.0,0.0,0.0,0.0
31,310000,0.0,0.0,506.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
32,319996,0.0,0.0,506.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
33,330000,0.0,0.0,506.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
34,340000,0.0,0.0,506.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
35,350000,0.0,0.0,506.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
36,360000,0.0,0.0,506.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
37,370000,0.0,0.0,514.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
38,380000,0.0,0.0,509.0,115.0,26.0,903.0,0.0,1533.0,0.0,0.0,0.0
39,389996,0.0,0.0,507.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
40,400000,0.0,0.0,506.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
41,409996,0.0,0.0,506.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
42,420000,0.0,0.0,506.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
43,430000,0.0,0.0,504.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
44,440000,0.0,0.0,505.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
45,450000,0.0,0.0,532.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
46,460000,0.0,0.0,574.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
47,469996,0.0,0.0,506.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
48,480000,0.0,0.0,488.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
49,490004,0.0,0.0,486.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
50,499996,0.0,0.0,497.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
51,509996,0.0,0.0,503.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
52,520000,0.0,0.0,506.0,115.0,27.0,903.0,0.0,1533.0,0.0,0.0,0.0
53,530000,0.0,0.0,507.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
54,540000,0.0,0.0,506.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
55,550000,0.0,0.0,506.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
56,560000,0.0,0.0,506.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
57,569996,0.0,0.0,513.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
58,580000,0.0,0.0,508.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
59,590000,0.0,0.0,507.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
60,599996,0.0,0.0,507.0,115.0,27.0,904.0,0.0,1533.0,0.0,0.0,0.0
61,610000,0.0,0.0,506.0,115.0,27.0,905.0,0.0,1533.0,0.0,0.0,0.0
62,620000,0.0,0.0,506.0,115.0,27.0,905.0,0.0,1533.0,0.0,0.0,0.0
